"tag","theme","nums"
"11 septembre","Terrorisme","848"
"14 juillet","Armée/Police","996"
"2022","Varia","1177"
"absentéisme","Varia","991"
"afghanistan","International","850"
"agriculture","Varia","974;1116"
"ahmadinejad","International","879"
"air france","Capitalisme","885"
"airbus","Capitalisme","885"
"al-qaida","Terrorisme","985"
"alcoolisme","Varia","935"
"algérie","International","971"
"alimentation","Varia","1079"
"allègre","Politique-Gauche","929"
"allemagne","International","1039;1065;1110"
"amende","Varia","884"
"anne sinclair","Showbiz","990;994"
"anniversaire","Varia","881;933"
"antisémitisme","Violence","879;977;1013;1031;1124;1125;1153"
"armée","Armée/Police","850;992;996;1075;1099;1106"
"armes","Varia","1133"
"assassinat","Violence","1031;1032;1062"
"astérix","Varia","1061"
"athées","Religion","847;983"
"attentats","Violence","1118;1188"
"aviation","Varia","885;890"
"avion","Varia","885;890;1154"
"bac","Varia","887;991;1096"
"bachar al-assad","International","1026;1106"
"ballerine","Varia","1005"
"banditisme","Varia","1107;1109"
"banques","Capitalisme","849;852;1013;1044;1102;1179"
"bateau","Varia","1022;1187"
"batman","Varia","1049"
"bayrou","Politique-Droite","886;898"
"belgique","International","1056;1069"
"ben ali","International","976"
"ben laden","Terrorisme","959;985"
"benoit xvi","Religion","847;877;928;962;1041;1070;1078;1080;1081"
"berlusconi","International","1081"
"bernadette chirac","Politique-Droite","1128"
"bernard arnault","Capitalisme","1056"
"bernard tapie","Politique-Gauche","1096;1102"
"besson","Politique-Droite","880;900;906;908;914;921;952"
"bettencourt","Showbiz","942;944;945"
"bible","Religion","983"
"bigard","Showbiz","848"
"bizutage","Varia","1039"
"bnp","Capitalisme","1013"
"bonne année","Varia","915"
"bonus","Capitalisme","895"
"borloo","Politique-Droite","801"
"bourse","Capitalisme","849;851;895;999"
"boutin","Politique-Droite","1092"
"brésil","International","862;873;1101"
"bretagne","France","1116;1117"
"budget","Varia","1140"
"burka","Religion","888;920"
"bush","International","855"
"ça déraille","Varia","1100"
"capitalisme","Capitalisme","876"
"carbone","Varia","899"
"caricature","Varia","1057"
"carla bruni","Showbiz","914;927;931;946;1003;1006;1027;1030;1161"
"catastrophes naturelles","Varia","918;978"
"cavanna","Medias","1129"
"cécile duflot","Politique-Gauche","1132"
"charia","Religion","1010;1011"
"charter","Varia","950"
"chirac","Politique-Droite","976;1000;1004"
"chômage","Varia","850;868;937;1048;1079"
"christiane taubira","Politique-Gauche","1132"
"cinéma","Varia","831;928;999;1091;1119;1151;1185"
"clearstream","Politique","901"
"climat","Varia","924;925;929"
"clonage","Varia","912"
"closer","Medias","1174"
"clowns","Varia","1168"
"cocaïne","Varia","882"
"cohn-bendit","Politique-Gauche","886"
"colonialisme","Violence","1153"
"coluche","Varia","852;1171"
"concept cars","Varia","957"
"consommation","Varia","1018"
"copé","Politique-Droite","1040;1053;1063;1066;1067;1070;1094;1105"
"coran","Religion","983;1099"
"corruption","Violence","973"
"corse","France","1062"
"crash test","Varia","885;890;1154;1182"
"crédit lyonnais","Capitalisme","1102"
"crise","Capitalisme","849;851;852;853;860;868;872;877;891;896;937;999;1047;1052;1090;1100;1140;1152;1157"
"crise économique 2009","Capitalisme","868;872;877;891;896;937"
"crise financière 2008","Capitalisme","849;851;852;853;860"
"croissance","Varia","870;896;1104;1125;1152;1157"
"crs","Armée/Police","949;958"
"darcos","Politique-Droite","910"
"dati","Politique-Droite","854"
"de gaulle","Politique-Droite","939;1093"
"delarue","Showbiz","1054"
"délation","Violence","880"
"démocratie","Varia","1094"
"derrick","Varia","861"
"dieu","Religion","1064;1108"
"dieudonné","Showbiz","1124;1125"
"dimanche","Varia","1111"
"discrimination","Violence","966"
"disparus","Varia","885"
"drh","Varia","903"
"drogue","Varia","1014;1054"
"droite","Politique-Droite","887;926;1093"
"dsk","Politique-Gauche","968;987;989;990;993;994;998;1005;1010;1015;1051;1068;1081;1086;1134;1143;1160"
"durban","International","879"
"ebola","Varia","1156"
"école","Varia","1073;1108;1130;1142"
"écologie","Varia","801;899;982;1116"
"économie","Varia","870;872;895;923;934;1104;1110;1125;1140;1141;1152;1157"
"écoute","Varia","1003"
"education nationale","Varia","865;883;1142"
"egypte","International","972;1045;1099"
"élections","Varia","729;831;846;855;856;885;886;925;932;970;978;980;982;994;1002;1007;1009;1020;1023;1024;1025;1027;1028;1029;1031;1032;1033;1034;1035;1036;1037;1038;1042;1043;1063;1066;1067;1094;1110;1135;1136;1177;1180;1181;1183;1184"
"elvis","Varia","985"
"elysée","Politique","1176"
"émigration","Varia","1112"
"enseignement","Varia","865;883"
"entreprises","Capitalisme","910;1141"
"environnement","Varia","801;899;929;1116;1117"
"épidémie","Varia","892;909;1156"
"essence","Varia","957;1001"
"été","Varia","890;891;1048;1103;1104;1156;1157"
"europe","Varia","885;934;953;1013;1017;1039;1065;1112;1144;1187"
"européennes","Politique","885;886"
"eva joly","Politique-Gauche","996"
"évêque","Religion","873"
"examen","Varia","883"
"expulsions","Varia","1114"
"extrême droite","Extrême-droite","921;926;932;965;978;984;997;1028;1029;1031;1036;1043;1066;1070;1095;1109;1112;1135;1147;1172;1174;1180;1183;1186"
"fabius","Politique-Gauche","1087;1089"
"facebook","Varia","935"
"famille","Varia","1164"
"farine animale","Varia","1079"
"femen","Varia","1053;1081"
"figaro","Medias","1113"
"fillon","Politique-Droite","868;926;961;964;996;1014;1040;1053;1063;1066;1067;1070;1105;1169"
"florange","Capitalisme","1059;1068"
"florian philippot","Extrême-droite","1174"
"fmi","Capitalisme","987;989"
"fn","Extrême-droite","921;926;932;978;979;984;997;1031;1036;1043;1066;1095;1109;1112;1135;1136;1144;1145;1147;1150;1165;1172;1174;1180;1183;1186"
"foot","Varia","937;938;939;940;986;1115;1148;1149"
"france","France","918;1039;1065;1106;1162"
"france télécom","Varia","902"
"france télévision","Medias","864"
"françois 1er","Religion","1082;1083;1101;1179"
"françois hollande","Politique-Gauche","846;1008;1009;1023;1033;1038;1039;1044;1045;1047;1048;1052;1055;1061;1072;1075;1086;1089;1090;1091;1098;1103;1107;1110;1114;1119;1121;1122;1123;1125;1126;1132;1134;1139;1146;1152;1157;1160;1171;1176;1182;1185"
"françois mitterrand","Politique-Gauche","969;1000"
"frédéric mitterrand","Politique-Droite","904"
"frigide barjot","Showbiz","1088;1092"
"galliano","Showbiz","977"
"gauche","Politique-Gauche","887;1047;1138"
"gaza","International","863;865"
"georges lautner","Showbiz","1119"
"gérard depardieu","Showbiz","1069;1070;1133"
"gigolo","Varia","942"
"glou glou","Varia","1103;1112"
"grèce","International","1052"
"grenelle","Politique","801"
"grève","Varia","875;957;1151"
"grippe","Varia","892;909"
"guadeloupe","France","871"
"guéant","Politique-Droite","1014;1025;1029;1040;1053"
"guerre","Violence","850;894;939;979;985;1001;1075;1106;1107;1155;1187"
"haïti","International","918"
"hara-kiri","Medias","1129"
"hitler","Violence","1013"
"homophobie","Violence","1012;1046;1064;1073;1074;1088;1092;1093"
"hortefeux","Politique-Droite","900;948;1040;1053;1105"
"houellebecq","Showbiz","1177"
"hulot","Politique","982"
"humanisme","Varia","991"
"immigration","Varia","880;906;946;1112"
"impôts","Varia","853;1024;1056;1069;1086;1106;1113;1115;1116;1117"
"incendie criminel","Violence","1012"
"intégrisme","Religion","866;888;917;920;959;1011;1012;1016;1049;1057;1058;1070;1073;1075;1099;1130;1142;1143;1162;1163;1166;1170"
"intempéries","Varia","1097"
"internet","Varia","935"
"irak","International","1170"
"iron man","Varia","1091"
"israël","International","863;865;1153"
"israël-palestine","International","863;865;866;1153"
"japon","International","978"
"jean-luc mélenchon","Politique-Gauche","1033;1042"
"jean-marc ayrault","Politique-Gauche","1055;1072;1087;1089;1122;1132"
"jean-pierre pernaut","Showbiz","919;960"
"jean-yves le drian","Politique-Gauche","1132"
"jeanne d'arc","Varia","1145"
"jérôme cahuzac","Politique-Gauche","1086;1087"
"jesus","Religion","905;966;983;1016;1064;1082;1084;1173"
"jihad","Terrorisme","1170"
"jo","Varia","1049;1050;1131"
"johnny hallyday","Showbiz","913;936"
"journal","Medias","1113;1118"
"journalisme","Medias","1050"
"journée de...","Varia","924;1004"
"juppé","Politique-Droite","1014"
"justice","Varia","901;945;974;976;987;990;1071;1102"
"kadhafi","International","975;976;1001"
"kouchner","Politique","961"
"krach","Capitalisme","999"
"l'oréal","Showbiz","944;945"
"la poste","Varia","903"
"lagarde","Politique-Droite","849;989"
"laïcité","Religion","981;1108"
"lcl","Capitalisme","1102"
"le cimetière","Varia","853;861;889;930;985;1000;1054;1129"
"le monde","Medias","1003"
"le pen","Extrême-droite","926;965;1028;1029;1031;1109;1147;1150;1165;1172;1183;1186"
"législatives","Politique","1042;1043;1110"
"les dictatures","International","975"
"les firmes","Capitalisme","902;944;945;1021;1022;1085;1111"
"les riches","Showbiz","1056"
"les verts","Politique-Gauche","996"
"libération","Medias","1118"
"libye","International","975;979;1001;1010;1011"
"livres","Varia","1030;1177"
"logement","Varia","859"
"lois","Varia","1046"
"lourdes","Religion","1097"
"luc chatel","Politique-Droite","1040"
"luc ferry","Politique-Droite","991"
"madonna","Showbiz","1042"
"mahomet","Religion","1163;1178"
"malaise","Varia","893"
"mali","International","1074;1075"
"mam","Politique-Droite","971;973;975"
"manifestations","Varia","867;874;875;949;951;956;957;975;992;1073;1074;1099;1113;1164"
"manuel valls","Politique-Gauche","1089;1132;1137;1138;1139;1140;1158;1182"
"mariage","Varia","1046;1074;1076;1088;1092;1093"
"marine le pen","Extrême-droite","965;970;977;978;979;984;997;1028;1029;1031;1042;1043;1066;1070;1095;1112;1144;1145;1147;1150;1165;1167;1171;1172;1179;1183;1186"
"maroc","International","971"
"marseille","France","1107"
"martine aubry","Politique-Gauche","858;898;968;988;995;1008"
"massacre","Violence","1178"
"mc donald's","Varia","1168"
"medef","Capitalisme","875"
"médicament","Varia","743;916"
"mer","Varia","890;891;895;944"
"merkel","International","1039;1065;1110"
"michael jackson","Showbiz","889"
"michel sapin","Politique-Gauche","1132"
"ministre","Politique","1137"
"mireille mathieu","Showbiz","1059"
"miss france","Showbiz","964;1120"
"mitt romney","International","1063"
"mode","Varia","977"
"mohamed merah","Terrorisme","1060"
"montebourg","Politique-Gauche","1089;1132;1141;1158"
"moubarak","International","976"
"municipales","Politique","1094;1135;1136"
"nadine morano","Politique-Droite","1014;1021"
"najat belkacem","Politique-Gauche","1159"
"nathalie kosciusko-morizet","Politique-Droite","1094"
"nazisme","Violence","861;1013"
"négationnisme","Violence","869;879"
"népotisme","Violence","904"
"nice","France","1109"
"nigeria","International","1143"
"noël","Varia","858;860;914;966;1018;1173"
"norvège","International","997"
"nucléaire","Varia","729"
"nudisme","Varia","1132"
"obama","International","846;855;866;1107"
"opus dei","Religion","905"
"otage","Violence","987"
"ouverture","Varia","887;897;927"
"palestine","International","863;865;1153"
"pape","Religion","847;869;877;928;962;1041;1078;1080;1081;1082;1083;1101;1179"
"paris","France","1094"
"parisot","Capitalisme","875"
"parricide","Violence","1076"
"patrick buisson","Politique-Droite","1134"
"patrimoine","Varia","1087"
"pauvreté","Varia","1187"
"pédophilie","Violence","873;894;928;1073"
"pétrole","Varia","1001"
"phallocrate","Violence","1127"
"pharmaceutique","Varia","916"
"philosophie","Varia","887;991"
"pierre moscovici","Politique-Gauche","1089"
"pip","Varia","1021;1022"
"pirates","Varia","878"
"pitbulls","Varia","961"
"plage","Varia","890;891;944;997"
"pma","Varia","1077"
"polanski","Showbiz","928"
"police","Armée/Police","884;949;958"
"pollution","Varia","1116"
"poséidon adventure","Varia","1022;1187"
"poutine","International","1053;1131;1133"
"préservatif","Varia","877;962;994"
"président","Politique","1126;1149"
"présidentielle","Politique","932;970;980;982;994;1002;1009;1020;1023;1024;1025;1027;1028;1029;1031;1032;1033;1034;1035;1036;1037;1038;1063"
"présidentielle 2007","Politique","729"
"présidentielle 2012","Politique","932;970;980;982;994;1002;1009;1020;1023;1024;1025;1027;1028;1029;1031;1032;1033;1034;1035;1036;1037;1038"
"présidentielle 2017","Politique","1161"
"presse","Medias","1003;1118;1174"
"primaires","Politique","1007;1094"
"prisons","Varia","854;1053;1175"
"privatisation","Capitalisme","903"
"prof","Varia","883"
"prophète","Religion","905;966;983;1016;1064;1082;1084;1163;1178"
"prostitution","Violence","1120"
"provence-alpes-côte d'azur","France","1107;1109"
"ps","Politique-Gauche","831;857;888;968;988;1007;1009;1055;1086;1087;1132;1158;1185"
"pub","Varia","861;864;982"
"pussy riot","International","1053"
"qatar","International","1059"
"radio","Medias","941"
"radio france","Medias","941"
"rama yade","Politique-Droite","908;961"
"ramadan","Religion","1177"
"raymond domenech","Showbiz","940"
"recyclage","Varia","1091"
"réforme","Varia","876"
"régime","Varia","963"
"régionales","Politique","925"
"régions françaises","France","1116;1117"
"religion","Religion","847;873;888;917;920;928;962;981;983;1011;1012;1016;1049;1057;1058;1064;1073;1078;1080;1082;1083;1097;1099;1101;1108;1111;1130;1142;1143;1162;1163;1166;1173;1177;1178;1188"
"remaniement","Politique","954;1132;1158"
"rentrée","Varia","1002"
"répression","Violence","975;1026"
"retraite","Varia","922;930;935;949;950;951;955;1078"
"révolution","International","972;975;1026"
"rigueur","Varia","1090"
"rio","International","1101"
"rolex","Varia","877"
"roselyne bachelot","Politique-Droite","909"
"roumanie","International","950"
"rumeur","Varia","995;998"
"russie","International","1131;1133"
"santé","Varia","892;893;909;911;935;1021;1079;1117;1121"
"sarkozy","Politique-Droite","743;858;859;862;863;867;868;870;871;872;874;878;881;882;884;893;899;901;904;907;912;914;915;919;921;922;923;925;927;931;933;941;943;944;946;950;953;954;957;964;967;970;974;979;980;1000;1002;1003;1004;1006;1007;1009;1019;1020;1023;1024;1025;1026;1027;1030;1032;1034;1035;1036;1037;1038;1051;1084;1096;1105;1121;1134;1137;1151;1161;1162;1167;1169;1171;1179;1184"
"science","Varia","917;929"
"sdf","Varia","859;860;874"
"sécurité","Varia","946"
"sécurité sociale","Varia","936"
"ségolène royal","Politique-Gauche","729;831;856;857;858"
"sénat","Politique","1006"
"sénateur","Politique","1006"
"sexisme","Violence","924;988;1010;1081;1127;1159"
"sexualité","Varia","743;1155"
"siné","Medias","1071"
"smic","Varia","1148"
"social","Varia","1077"
"soeur emmanuelle","Religion","853"
"sondages","Varia","993;1023;1176"
"sotchi","International","1131"
"sport","Varia","882;934;937;938;939;940;1049;1050;1098;1115;1131;1148;1149"
"st valentin","Varia","869"
"stock-options","Capitalisme","875"
"suicide","Violence","854;902;903;1086"
"suisse","International","1087"
"surpopulation","Varia","1077"
"syrie","International","1106;1107;1170"
"taser","Armée/Police","859"
"taxe","Varia","899;1116;1117"
"télé","Medias","864;1083;1085;1151;1169;1175;1182"
"téléphone","Varia","898"
"téléthon","Varia","911"
"tempête","Varia","924;925"
"terrorisme","Terrorisme","955;959;985;1032;1166;1178;1179;1188"
"tf1","Medias","919;960;1085"
"théâtre","Varia","1016;1151"
"torah","Religion","983"
"torture","Violence","1011"
"totalitarisme","Violence","975"
"toulouse","France","1031;1032"
"trader","Capitalisme","895"
"train","Varia","1100"
"travail","Varia","1111"
"tueur de masse","Violence","1076"
"tunisie","International","971;972;973;1011"
"tva","Varia","1024"
"twitter","Varia","1045"
"ukraine","International","1133"
"ump","Politique-Droite","897;925;926;948;958;961;979;1004;1014;1015;1036;1040;1053;1066;1067;1094;1105"
"université","Varia","883"
"usa","International","846;851;855;918;987;1063"
"vacances","Varia","862;890;891;895;972;993;1103;1104"
"vache folle","Varia","1079"
"valérie trierweiler","Showbiz","1044;1045;1047;1098;1125;1127;1128;1160"
"vatican","Religion","877;1041;1082"
"vie privée","Varia","1126"
"villepin","Politique-Droite","901"
"violence","Violence","865;883"
"voeux","Varia","967;1019"
"voile","Religion","888;1049;1122"
"voiture","Varia","957"
"wall street","Capitalisme","851"
"woerth","Politique-Droite","930;942;943;944;951"
"xavier darcos","Politique-Droite","865"
"xénophobie","Violence","900;947;948;949;953;986;996;1026;1114;1124;1125;1145;1165;1167"
"yannick noah","Showbiz","1014"
"zemmour","Showbiz","970;1165;1167"
